PDC Year,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC19,DisCoveR,44.7,2.5,42.2,0.6,0.9640454820658336,0.9672027089529737,0.9653075396825397,0.9330207260179757,1.0,400.7,0.0,40.0,0.08758516311645503
PDC19,Sp-DisCoveR,28.1,2.0,42.7,17.2,0.6531399583937217,0.6546824863729658,0.7865575396825397,0.5964363190575052,0.6465714285714286,350.2,5.3,45.3,1.0788376331329346
PDC19,Sp-DisCoveR_no_i2e_e2i,45.2,2.9,41.8,0.1,0.9642013862355695,0.9688561185151088,0.9663492063492065,0.9366040728274256,1.0,172.3,5.3,45.3,1.0615208148956299
PDC20,DisCoveR,522.9427083333334,281.7395833333333,195.16666666666666,0.15104166666666666,0.5214487796471113,0.7967941942750333,0.7045533489953021,0.5006373168788333,1.0,61.375,0.0,24.083333333333332,0.18493810296058652
PDC20,Sp-DisCoveR,522.9427083333334,286.1614583333333,190.74479166666666,0.15104166666666666,0.5059887222919942,0.7948042961689322,0.6999472391251306,0.4899097679947843,0.9999895833333333,58.072916666666664,1.1666666666666667,25.25,0.6912082818647226
PDC20,Sp-DisCoveR_no_i2e_e2i,522.953125,294.6875,182.21875,0.140625,0.48008618935725655,0.7901401302007279,0.6910198749159746,0.46462344160953517,1.0,54.276041666666664,1.1666666666666667,25.25,0.689328438291947
PDC21,DisCoveR,125.0,6.427083333333333,118.57291666666667,0.0,0.9724263820750244,0.9758638164557837,0.9742916666666667,0.951481227768218,1.0,365.0208333333333,0.0,47.25,0.16055476665496823
PDC21,Sp-DisCoveR,64.85416666666667,2.25,122.75,60.145833333333336,0.6319322663014787,0.6302414382385869,0.7504166666666666,0.570055672278343,0.6950833333333333,377.1145833333333,4.90625,52.104166666666664,1.7655433664719264
PDC21,Sp-DisCoveR_no_i2e_e2i,125.0,6.125,118.875,0.0,0.97378443416093,0.9769553056422272,0.9754999999999999,0.9536904754632659,1.0,233.0625,4.90625,52.104166666666664,1.7622732842961948
PDC22,DisCoveR,289.8229166666667,94.70833333333333,405.2916666666667,210.17708333333334,0.6162330353254248,0.6380196173783416,0.6951145833333333,0.43495686701752384,1.0,65.76041666666667,0.0,13.25,0.035680552323659215
PDC22,Sp-DisCoveR,264.9895833333333,87.63541666666667,412.3645833333333,235.01041666666666,0.5739476478899079,0.5893393909100038,0.6773541666666666,0.40109654499888997,0.96915625,48.083333333333336,1.8854166666666667,15.135416666666666,0.272967221836249
PDC22,Sp-DisCoveR_no_i2e_e2i,283.4166666666667,133.67708333333334,366.3229166666667,216.58333333333334,0.5583274792022827,0.5967350479950252,0.6497395833333334,0.3409672668415598,1.0,32.052083333333336,1.8854166666666667,15.135416666666666,0.2736501817901929
