Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
DisCoveR,357.0431472081218,161.6751269035533,224.14467005076142,51.2994923857868,0.6669547881862715,0.8071450933954741,0.7757799959490441,0.6076845751199331,1.0,139.53807106598984,0.0,27.492385786802032,0.14287592009239386
Sp-DisCoveR,354.29441624365484,164.50761421319797,221.31218274111674,54.04822335025381,0.6608657884754088,0.7999338490139424,0.7701172170962249,0.5964133439351635,1.0,133.91878172588832,1.032994923857868,28.5253807106599,1.0921853798900159
Sp-DisCoveR_no_i2e_e2i,356.46446700507613,169.0253807106599,216.7944162436548,51.878172588832484,0.6573185892683796,0.8002417872370772,0.7676863306548269,0.5912741738849987,1.0,108.4010152284264,1.032994923857868,28.5253807106599,1.061787789243127
