Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
DisCoveR,357.0431472081218,161.6751269035533,224.14467005076142,51.2994923857868,0.6669547881862715,0.8071450933954741,0.7757799959490441,0.6076845751199331,1.0,139.2969543147208,0.0,27.492385786802032,0.13926908025886803
Sp-DisCoveR,354.1015228426396,164.31218274111674,221.50761421319797,54.24111675126903,0.6604418699072055,0.7996018602286649,0.7700395091360889,0.5964836189242171,1.0,134.57868020304568,1.032994923857868,28.5253807106599,1.075525252347065
Sp-DisCoveR_no_i2e_e2i,356.3756345177665,168.89340101522842,216.9263959390863,51.96700507614213,0.6569885564729121,0.7999966089995493,0.7675667177763165,0.5911946606425883,1.0,109.57106598984771,1.032994923857868,28.5253807106599,1.058216907046168
